ad_id,ad_name,campaign_id,campaign_name,ad_type,platform,reporting_date,age_group,gender,impressions,clicks,spend,conversions,conversion_value
AD_0036,Ad Creative 36,CMP_12,Campaign 17,Text,Instagram,31-07-24,18-24,Male,43035,4564,694.67,885,70445.47
AD_0037,Ad Creative 37,CMP_04,Campaign 20,Text,Instagram,24-07-24,35-44,Female,34247,2925,9625.36,594,20131.83
AD_0038,Ad Creative 38,CMP_09,Campaign 2,Text,Facebook,17-07-24,55+,All,79467,8379,3852.26,118,7303.37
AD_0039,Ad Creative 39,CMP_11,Campaign 20,Carousel,Facebook,24-07-24,35-44,All,94307,3228,4313.26,372,35488.32
AD_0040,Ad Creative 40,CMP_05,Campaign 7,Text,Instagram,22-07-24,25-34,All,40548,6691,4024.3,334,12227.4
AD_0041,Ad Creative 41,CMP_10,Campaign 7,Text,Instagram,15-07-24,45-54,Female,74603,4930,5479.6,415,4165.16
AD_0042,Ad Creative 42,CMP_06,Campaign 3,Carousel,Instagram,03-07-24,25-34,All,88565,3501,4732.13,523,47648.58
AD_0043,Ad Creative 43,CMP_08,Campaign 16,Image,Instagram,14-07-24,55+,Male,40697,3680,1991.7,825,10063.59
AD_0044,Ad Creative 44,CMP_01,Campaign 4,Text,Facebook,06-07-24,55+,Female,94165,6291,3996.83,506,11780.4
AD_0045,Ad Creative 45,CMP_05,Campaign 15,Carousel,Instagram,20-07-24,55+,Female,6592,4566,9174.74,255,5335.18
AD_0046,Ad Creative 46,CMP_15,Campaign 9,Video,Instagram,25-07-24,55+,Female,71820,7305,1592,918,80356.71
AD_0047,Ad Creative 47,CMP_08,Campaign 9,Carousel,Instagram,29-07-24,55+,Male,82159,3919,4399.01,281,20855.55
AD_0048,Ad Creative 48,CMP_07,Campaign 3,Text,Instagram,11-07-24,55+,Female,18146,2471,3830.66,236,5605.58
AD_0049,Ad Creative 49,CMP_19,Campaign 1,Text,Instagram,01-07-24,35-44,Female,54506,1020,8329,211,9506.16
AD_0050,Ad Creative 50,CMP_18,Campaign 18,Video,Instagram,08-07-24,35-44,Female,98769,6389,8916.47,873,74393.2
AD_0051,Ad Creative 51,CMP_13,Campaign 6,Text,Facebook,20-07-24,55+,Male,63664,475,3361.63,199,14153.43
AD_0052,Ad Creative 52,CMP_14,Campaign 5,Text,Facebook,02-07-24,35-44,Female,51655,9697,6630.17,577,10129.39
AD_0053,Ad Creative 53,CMP_13,Campaign 9,Text,Instagram,27-07-24,18-24,Female,42916,3467,3268.79,465,36507.46
AD_0054,Ad Creative 54,CMP_03,Campaign 2,Image,Facebook,07-07-24,18-24,All,2550,2209,9999.08,53,2199.31
AD_0055,Ad Creative 55,CMP_07,Campaign 15,Carousel,Instagram,06-07-24,55+,All,19983,3908,4735.87,129,2618.06
AD_0056,Ad Creative 56,CMP_04,Campaign 19,Image,Instagram,19-07-24,45-54,Female,98042,1876,8193.1,796,77072.6
AD_0057,Ad Creative 57,CMP_08,Campaign 4,Carousel,Facebook,26-07-24,55+,Male,93728,3249,5921.18,77,6525.86
AD_0058,Ad Creative 58,CMP_11,Campaign 1,Text,Instagram,04-07-24,45-54,Female,45518,8728,6615.38,438,7098.27
AD_0059,Ad Creative 59,CMP_17,Campaign 9,Text,Instagram,14-07-24,55+,Female,83317,7532,1530.33,724,18717.08
AD_0060,Ad Creative 60,CMP_15,Campaign 8,Text,Instagram,11-07-24,18-24,Female,42255,4022,9346.25,850,29838.01
AD_0061,Ad Creative 61,CMP_11,Campaign 9,Carousel,Facebook,17-07-24,25-34,Male,42610,2979,2121.59,499,40820.65
AD_0062,Ad Creative 62,CMP_16,Campaign 16,Text,Facebook,03-07-24,35-44,Male,31645,6658,5551.98,500,15814.58
AD_0063,Ad Creative 63,CMP_18,Campaign 17,Carousel,Instagram,24-07-24,55+,Female,53015,3986,6639.77,313,13525.31
AD_0064,Ad Creative 64,CMP_07,Campaign 11,Image,Facebook,07-07-24,25-34,All,46122,7434,3066.58,277,8517.31
AD_0065,Ad Creative 65,CMP_20,Campaign 10,Image,Facebook,10-07-24,25-34,Female,63474,4530,5896.07,741,58108.26
AD_0066,Ad Creative 66,CMP_02,Campaign 2,Carousel,Facebook,21-07-24,45-54,Male,23529,4952,7080.33,14,299.49
AD_0067,Ad Creative 67,CMP_06,Campaign 2,Carousel,Instagram,04-07-24,18-24,Female,1617,1175,4694.23,291,14445.88
AD_0068,Ad Creative 68,CMP_05,Campaign 19,Carousel,Facebook,08-07-24,18-24,All,64464,1213,6294.64,590,8746.64
AD_0069,Ad Creative 69,CMP_17,Campaign 13,Text,Instagram,10-07-24,55+,Female,54558,9933,7907.51,610,18490.22
AD_0070,Ad Creative 70,CMP_04,Campaign 7,Video,Instagram,22-07-24,18-24,Male,40036,9316,602.77,635,61220.22
AD_0071,Ad Creative 71,CMP_15,Campaign 20,Text,Instagram,02-07-24,25-34,Female,31449,2847,751.11,565,5786.06
AD_0072,Ad Creative 72,CMP_08,Campaign 9,Video,Instagram,04-07-24,55+,Male,92672,4632,8596.14,719,11796.04
AD_0073,Ad Creative 73,CMP_02,Campaign 6,Carousel,Instagram,15-07-24,18-24,Female,84896,2441,2656.69,930,21205.18
AD_0074,Ad Creative 74,CMP_18,Campaign 16,Text,Facebook,20-07-24,18-24,Female,90276,4982,4025.38,716,24703.54
AD_0075,Ad Creative 75,CMP_19,Campaign 19,Image,Instagram,19-07-24,18-24,Male,96286,5280,2504.05,618,11259.6
AD_0076,Ad Creative 76,CMP_19,Campaign 14,Text,Facebook,16-07-24,35-44,Female,61679,8502,4422.57,667,23367.74
AD_0077,Ad Creative 77,CMP_14,Campaign 16,Carousel,Instagram,27-07-24,55+,Male,43697,5260,1046.45,686,16789.33
AD_0078,Ad Creative 78,CMP_13,Campaign 17,Image,Instagram,14-07-24,18-24,Male,59624,1442,2524.36,322,6579.41
AD_0079,Ad Creative 79,CMP_02,Campaign 7,Carousel,Facebook,30-07-24,35-44,Female,67962,5927,7564.55,637,42224.68
AD_0080,Ad Creative 80,CMP_08,Campaign 6,Carousel,Facebook,18-07-24,45-54,Male,91531,7941,289.18,124,8271.05
AD_0081,Ad Creative 81,CMP_05,Campaign 16,Carousel,Instagram,14-07-24,45-54,Female,29461,1858,9470.63,472,32234.71
AD_0082,Ad Creative 82,CMP_20,Campaign 17,Video,Facebook,09-07-24,45-54,Female,31956,7483,1446.85,564,15315.38
AD_0083,Ad Creative 83,CMP_19,Campaign 19,Text,Facebook,15-07-24,55+,Female,66560,4377,26.15,840,63289.45
AD_0084,Ad Creative 84,CMP_11,Campaign 7,Video,Instagram,08-07-24,45-54,Male,45246,5446,7628.85,565,24831.13
AD_0085,Ad Creative 85,CMP_05,Campaign 16,Image,Facebook,17-07-24,55+,Female,41714,7749,9134.34,722,31992.4
AD_0086,Ad Creative 86,CMP_05,Campaign 14,Video,Facebook,16-07-24,35-44,Female,13164,7213,5259.75,102,5214.6
AD_0087,Ad Creative 87,CMP_18,Campaign 13,Carousel,Instagram,28-07-24,55+,Male,81701,6512,803.61,665,26314.65
AD_0088,Ad Creative 88,CMP_08,Campaign 3,Text,Facebook,25-07-24,18-24,Female,80941,1121,6311.79,240,22292.07
AD_0089,Ad Creative 89,CMP_02,Campaign 10,Carousel,Instagram,14-07-24,25-34,Male,21815,4906,289.96,925,36254.19
AD_0090,Ad Creative 90,CMP_06,Campaign 3,Text,Facebook,16-07-24,55+,Male,69631,6751,6818.16,579,15172.76
AD_0091,Ad Creative 91,CMP_01,Campaign 15,Carousel,Facebook,03-07-24,45-54,Female,30443,7555,2540.15,653,21535.55
AD_0092,Ad Creative 92,CMP_15,Campaign 10,Video,Instagram,28-07-24,45-54,Male,77024,4901,9620.31,654,47171.85
AD_0093,Ad Creative 93,CMP_10,Campaign 1,Text,Instagram,01-07-24,55+,All,31101,6248,3589.91,585,21427.68
AD_0094,Ad Creative 94,CMP_10,Campaign 8,Carousel,Facebook,21-07-24,25-34,All,97615,803,7451.85,620,52672.41
AD_0095,Ad Creative 95,CMP_02,Campaign 10,Text,Facebook,19-07-24,35-44,All,32860,2240,972.09,643,42741
AD_0096,Ad Creative 96,CMP_06,Campaign 7,Video,Instagram,17-07-24,55+,Female,17234,1476,2951.46,931,71941.42
AD_0097,Ad Creative 97,CMP_10,Campaign 11,Image,Instagram,31-07-24,18-24,Male,21577,4210,8246.99,935,49897.49
AD_0098,Ad Creative 98,CMP_13,Campaign 18,Carousel,Facebook,26-07-24,45-54,Male,98858,3696,6763.4,880,62212.97
AD_0099,Ad Creative 99,CMP_09,Campaign 19,Text,Instagram,04-07-24,25-34,Female,34673,8791,4548.13,126,8889.87
AD_0100,Ad Creative 100,CMP_20,Campaign 8,Image,Instagram,30-07-24,35-44,All,3290,2537,9431.72,905,35766.11
AD_0101,Ad Creative 101,CMP_16,Campaign 4,Image,Facebook,29-07-24,55+,Male,53526,1911,453.95,143,1908.92
AD_0102,Ad Creative 102,CMP_18,Campaign 14,Video,Instagram,21-07-24,18-24,Female,50950,7432,6705.03,379,29138.51
AD_0103,Ad Creative 103,CMP_12,Campaign 7,Text,Instagram,31-07-24,25-34,Female,80704,6686,9515.24,961,12439.63
AD_0104,Ad Creative 104,CMP_02,Campaign 13,Carousel,Facebook,31-07-24,18-24,Female,13032,6018,9017.01,557,37895.17
AD_0105,Ad Creative 105,CMP_02,Campaign 11,Video,Facebook,26-07-24,55+,Male,12025,3475,6395.11,657,63990.75
AD_0106,Ad Creative 106,CMP_11,Campaign 5,Image,Instagram,28-07-24,25-34,Male,9002,3394,2159.91,600,52963.55
AD_0107,Ad Creative 107,CMP_01,Campaign 5,Image,Instagram,26-07-24,25-34,All,70817,4106,1745.38,817,56777.57
AD_0108,Ad Creative 108,CMP_14,Campaign 17,Image,Facebook,16-07-24,45-54,Female,42447,258,2654.04,89,1905.34
AD_0109,Ad Creative 109,CMP_20,Campaign 2,Carousel,Instagram,21-07-24,18-24,Male,67281,9726,4520.33,111,3323.28
AD_0110,Ad Creative 110,CMP_15,Campaign 3,Image,Instagram,20-07-24,25-34,Male,62791,6580,6861.13,436,23598.15
AD_0111,Ad Creative 111,CMP_11,Campaign 13,Carousel,Instagram,17-07-24,55+,Female,16550,4505,6330.95,639,37925.98
AD_0112,Ad Creative 112,CMP_18,Campaign 7,Text,Instagram,29-07-24,25-34,Female,13009,1874,6547.3,873,77691.38
AD_0113,Ad Creative 113,CMP_14,Campaign 11,Carousel,Instagram,31-07-24,25-34,All,44434,7430,4160.19,408,7571.55
AD_0114,Ad Creative 114,CMP_04,Campaign 12,Video,Facebook,19-07-24,55+,All,62173,1099,8317.8,93,1710.34
AD_0115,Ad Creative 115,CMP_14,Campaign 2,Carousel,Instagram,12-07-24,18-24,All,43217,2002,3536.3,420,29349.87
AD_0116,Ad Creative 116,CMP_04,Campaign 12,Carousel,Facebook,25-07-24,35-44,All,66517,3485,6567.53,158,4768.76
AD_0117,Ad Creative 117,CMP_20,Campaign 20,Image,Instagram,01-07-24,25-34,Female,29653,7030,5609.88,865,68394.62
AD_0118,Ad Creative 118,CMP_05,Campaign 19,Text,Facebook,05-07-24,18-24,Male,92114,5062,3398.58,943,9948.2
AD_0119,Ad Creative 119,CMP_06,Campaign 12,Carousel,Instagram,25-07-24,55+,All,97804,8691,3762.26,220,11182.19
AD_0120,Ad Creative 120,CMP_03,Campaign 9,Text,Instagram,16-07-24,55+,Female,11145,861,1574.52,159,10431.26
AD_0121,Ad Creative 121,CMP_14,Campaign 4,Carousel,Instagram,17-07-24,35-44,Male,54297,4475,7549.55,220,4453.59
AD_0122,Ad Creative 122,CMP_07,Campaign 5,Carousel,Instagram,11-07-24,18-24,Male,28913,6475,548.29,613,17408.02
AD_0123,Ad Creative 123,CMP_08,Campaign 17,Carousel,Facebook,13-07-24,18-24,Female,65203,7055,1292.29,179,10369.9
AD_0124,Ad Creative 124,CMP_14,Campaign 19,Text,Instagram,10-07-24,18-24,Female,2466,1883,779.09,943,35999.46
AD_0125,Ad Creative 125,CMP_12,Campaign 3,Text,Facebook,08-07-24,45-54,All,2743,1330,8013.32,175,11485.47
AD_0126,Ad Creative 126,CMP_11,Campaign 8,Carousel,Facebook,03-07-24,55+,All,52497,8584,3957.97,80,3033.98
AD_0127,Ad Creative 127,CMP_12,Campaign 5,Video,Facebook,05-07-24,35-44,Male,14955,8693,1939.44,522,41687.2
AD_0128,Ad Creative 128,CMP_06,Campaign 16,Text,Instagram,22-07-24,55+,All,22750,9869,7602.27,156,10763.35
AD_0129,Ad Creative 129,CMP_15,Campaign 3,Text,Instagram,21-07-24,35-44,Female,83279,5295,9709.75,884,33992.01
AD_0130,Ad Creative 130,CMP_15,Campaign 2,Image,Instagram,27-07-24,35-44,Male,77528,920,5073.62,360,13657.21
AD_0131,Ad Creative 131,CMP_19,Campaign 18,Image,Instagram,30-07-24,55+,All,84507,1479,5941,629,28055.55
AD_0132,Ad Creative 132,CMP_02,Campaign 15,Image,Instagram,23-07-24,18-24,All,24682,5267,4756.55,619,14594.47
AD_0133,Ad Creative 133,CMP_15,Campaign 17,Video,Instagram,12-07-24,35-44,Female,84699,2827,2477.81,40,1975.93
AD_0134,Ad Creative 134,CMP_11,Campaign 3,Carousel,Facebook,18-07-24,45-54,Female,53588,5543,5979.06,695,56316.14
AD_0135,Ad Creative 135,CMP_05,Campaign 12,Carousel,Instagram,05-07-24,55+,All,33039,9874,1504.16,894,15497.65
AD_0136,Ad Creative 136,CMP_05,Campaign 17,Image,Instagram,17-07-24,35-44,Male,11114,5072,3767.1,572,46474.76
AD_0137,Ad Creative 137,CMP_16,Campaign 7,Video,Facebook,05-07-24,18-24,Female,47536,5060,9511.72,184,7499.09
AD_0138,Ad Creative 138,CMP_17,Campaign 2,Carousel,Facebook,20-07-24,45-54,Male,13266,8317,5397.94,789,60341.11
AD_0139,Ad Creative 139,CMP_06,Campaign 15,Image,Instagram,12-07-24,25-34,Female,21276,2962,6928.61,851,56358.87
AD_0140,Ad Creative 140,CMP_18,Campaign 8,Carousel,Instagram,29-07-24,25-34,Female,80041,4668,7485.49,770,38810.71
AD_0141,Ad Creative 141,CMP_13,Campaign 17,Text,Facebook,27-07-24,25-34,All,88917,9345,4617.07,451,15947.11
AD_0142,Ad Creative 142,CMP_18,Campaign 4,Image,Instagram,03-07-24,25-34,Female,18150,4096,6411.97,53,4699.54
AD_0143,Ad Creative 143,CMP_08,Campaign 15,Carousel,Facebook,14-07-24,18-24,Female,58903,8410,8310.55,150,2738.13
AD_0144,Ad Creative 144,CMP_08,Campaign 1,Carousel,Facebook,27-07-24,35-44,Male,65809,6126,3861.97,241,4180.02
AD_0145,Ad Creative 145,CMP_05,Campaign 16,Text,Facebook,29-07-24,18-24,Male,18045,627,9174,293,15388.64
AD_0146,Ad Creative 146,CMP_20,Campaign 17,Text,Facebook,25-07-24,35-44,Male,33554,3533,1495.62,855,80900.39
AD_0147,Ad Creative 147,CMP_20,Campaign 15,Image,Facebook,27-07-24,45-54,All,39482,1996,2384.78,48,3240.27
AD_0148,Ad Creative 148,CMP_10,Campaign 14,Image,Instagram,08-07-24,55+,Female,70271,269,5750.69,263,19637.94
AD_0149,Ad Creative 149,CMP_17,Campaign 18,Image,Instagram,28-07-24,45-54,Male,24561,1402,9746.56,536,8624.85
AD_0150,Ad Creative 150,CMP_03,Campaign 12,Video,Facebook,25-07-24,55+,All,83328,6338,2536.88,382,4378.41
AD_0151,Ad Creative 151,CMP_06,Campaign 15,Text,Facebook,26-07-24,25-34,Male,99189,5447,443.83,136,8043.21
AD_0152,Ad Creative 152,CMP_07,Campaign 2,Carousel,Instagram,17-07-24,45-54,All,93863,7498,2934.78,37,515.87
AD_0153,Ad Creative 153,CMP_12,Campaign 2,Carousel,Instagram,04-07-24,35-44,Female,62059,4150,7533.03,37,1006.37
AD_0154,Ad Creative 154,CMP_06,Campaign 16,Text,Instagram,30-07-24,55+,Female,52441,7204,9564.81,916,37110.18
AD_0155,Ad Creative 155,CMP_06,Campaign 18,Carousel,Instagram,04-07-24,18-24,Female,10838,6955,4306.36,80,7964.71
AD_0156,Ad Creative 156,CMP_06,Campaign 15,Carousel,Instagram,02-07-24,35-44,All,86638,4843,4459.43,313,23346.56
AD_0157,Ad Creative 157,CMP_03,Campaign 13,Carousel,Facebook,31-07-24,18-24,Male,57018,4498,9800.28,654,62333.65
AD_0158,Ad Creative 158,CMP_12,Campaign 12,Text,Facebook,20-07-24,25-34,All,79645,7179,1262.74,35,1093.39
AD_0159,Ad Creative 159,CMP_05,Campaign 17,Carousel,Instagram,11-07-24,35-44,Male,58982,6077,4439.67,380,6429.48
AD_0160,Ad Creative 160,CMP_18,Campaign 4,Carousel,Instagram,23-07-24,45-54,Male,14879,424,1860.89,376,21280.5
AD_0161,Ad Creative 161,CMP_04,Campaign 5,Image,Instagram,06-07-24,45-54,Male,80209,4678,9164.83,710,38487.69
AD_0162,Ad Creative 162,CMP_18,Campaign 10,Carousel,Facebook,23-07-24,25-34,Female,89391,5236,3474.58,683,10821.81
AD_0163,Ad Creative 163,CMP_08,Campaign 16,Image,Instagram,18-07-24,55+,Female,66693,3673,9851.33,124,10079.45
AD_0164,Ad Creative 164,CMP_10,Campaign 13,Text,Instagram,25-07-24,45-54,All,61273,9038,6119.68,132,2344.24
AD_0165,Ad Creative 165,CMP_15,Campaign 17,Carousel,Facebook,29-07-24,55+,All,9676,2053,3170.62,995,16591.48
AD_0166,Ad Creative 166,CMP_02,Campaign 4,Video,Instagram,06-07-24,25-34,Female,77052,2981,9662.66,786,38463.42
AD_0167,Ad Creative 167,CMP_10,Campaign 3,Carousel,Facebook,21-07-24,55+,Female,92983,3694,9474.86,354,20072.08
AD_0168,Ad Creative 168,CMP_06,Campaign 19,Video,Facebook,22-07-24,55+,All,16416,4961,5335.01,629,34740.67
AD_0169,Ad Creative 169,CMP_01,Campaign 3,Image,Instagram,21-07-24,25-34,All,79326,5531,9239.34,862,11815.85
AD_0170,Ad Creative 170,CMP_10,Campaign 16,Video,Instagram,10-07-24,45-54,Male,54612,496,8890.02,254,15011.9
AD_0171,Ad Creative 171,CMP_07,Campaign 11,Video,Instagram,28-07-24,35-44,All,90267,981,4396.34,161,8626.8
AD_0172,Ad Creative 172,CMP_04,Campaign 11,Video,Instagram,04-07-24,35-44,Female,45278,6532,7606.77,133,7494.31
AD_0173,Ad Creative 173,CMP_20,Campaign 14,Video,Facebook,27-07-24,35-44,All,32505,2308,506.53,99,9413.38
AD_0174,Ad Creative 174,CMP_17,Campaign 15,Text,Instagram,16-07-24,18-24,Male,94529,5123,7631.33,194,10639.72
AD_0175,Ad Creative 175,CMP_12,Campaign 2,Image,Instagram,16-07-24,55+,All,51553,8281,9666.88,468,13741.88
AD_0176,Ad Creative 176,CMP_14,Campaign 5,Carousel,Instagram,25-07-24,45-54,Female,88158,7710,5367.14,292,25183.69
AD_0177,Ad Creative 177,CMP_18,Campaign 10,Image,Instagram,17-07-24,45-54,All,5940,3281,5703.03,52,1430.99
AD_0178,Ad Creative 178,CMP_11,Campaign 18,Carousel,Facebook,07-07-24,55+,All,36673,1946,9750.84,131,5954.12
AD_0179,Ad Creative 179,CMP_11,Campaign 16,Text,Facebook,20-07-24,55+,Male,52620,8193,453.51,41,915.66
AD_0180,Ad Creative 180,CMP_10,Campaign 19,Carousel,Instagram,23-07-24,55+,Female,42997,5218,3929.85,166,10870.52
AD_0181,Ad Creative 181,CMP_14,Campaign 19,Carousel,Facebook,20-07-24,45-54,Female,62255,272,3312.73,188,3734.51
AD_0182,Ad Creative 182,CMP_16,Campaign 6,Text,Facebook,27-07-24,25-34,Male,85939,9477,2275.82,591,8641.58
AD_0183,Ad Creative 183,CMP_05,Campaign 14,Video,Instagram,17-07-24,55+,Female,75057,1800,189.86,195,7455.3
AD_0184,Ad Creative 184,CMP_11,Campaign 16,Text,Instagram,31-07-24,25-34,Female,96457,1020,1381.26,722,20693.06
AD_0185,Ad Creative 185,CMP_09,Campaign 20,Text,Facebook,31-07-24,25-34,Female,69888,5608,3543.19,559,44428.81
AD_0186,Ad Creative 186,CMP_10,Campaign 7,Text,Instagram,16-07-24,35-44,All,73159,4890,9414.88,230,22632.79
AD_0187,Ad Creative 187,CMP_13,Campaign 13,Carousel,Facebook,10-07-24,18-24,Female,94599,4480,1219.18,294,20843.42
AD_0188,Ad Creative 188,CMP_16,Campaign 7,Video,Instagram,30-07-24,55+,All,93613,1294,9240.13,354,24439.27
AD_0189,Ad Creative 189,CMP_08,Campaign 2,Video,Facebook,02-07-24,18-24,Female,35611,2249,6156.96,111,6972.44
AD_0190,Ad Creative 190,CMP_18,Campaign 6,Text,Instagram,16-07-24,25-34,Female,43302,7739,6812.08,102,2281.95
AD_0191,Ad Creative 191,CMP_19,Campaign 8,Image,Facebook,14-07-24,25-34,Male,42106,4676,592.1,661,52341.45
AD_0192,Ad Creative 192,CMP_10,Campaign 2,Image,Instagram,19-07-24,55+,Male,52044,8116,9366.12,190,18352.45
AD_0193,Ad Creative 193,CMP_16,Campaign 5,Text,Instagram,07-07-24,18-24,Female,43924,4662,9891,465,27387.13
AD_0194,Ad Creative 194,CMP_11,Campaign 10,Video,Facebook,20-07-24,45-54,Female,21308,7518,2573.02,663,17740.5
AD_0195,Ad Creative 195,CMP_05,Campaign 16,Carousel,Facebook,01-07-24,35-44,Female,67548,5372,4008.63,88,1635.45
AD_0196,Ad Creative 196,CMP_19,Campaign 19,Image,Instagram,21-07-24,35-44,All,30880,7319,2670.31,771,30582.7
AD_0197,Ad Creative 197,CMP_13,Campaign 17,Carousel,Facebook,21-07-24,35-44,Female,30982,1017,1182.69,683,25689.39
AD_0198,Ad Creative 198,CMP_15,Campaign 20,Carousel,Instagram,23-07-24,55+,Female,80570,3618,9573.63,224,11880.15
AD_0199,Ad Creative 199,CMP_08,Campaign 20,Image,Instagram,17-07-24,35-44,Male,99277,8806,6641.11,821,24348.43
AD_0200,Ad Creative 200,CMP_07,Campaign 19,Video,Facebook,11-07-24,55+,Female,73956,1838,8287.83,63,5749.38
AD_0201,Ad Creative 201,CMP_17,Campaign 15,Image,Instagram,05-07-24,55+,Female,15245,3365,5831.69,734,13347.61
AD_0202,Ad Creative 202,CMP_10,Campaign 1,Text,Instagram,27-07-24,18-24,All,59883,9239,5588.19,59,4162.4
AD_0203,Ad Creative 203,CMP_03,Campaign 18,Image,Facebook,30-07-24,45-54,Male,28570,9475,453.38,74,3034.56
AD_0204,Ad Creative 204,CMP_14,Campaign 12,Text,Instagram,28-07-24,45-54,Female,37639,6698,7689.84,184,14522.11
AD_0205,Ad Creative 205,CMP_06,Campaign 18,Text,Facebook,24-07-24,25-34,Male,10528,8835,6535.51,136,5616.7
AD_0206,Ad Creative 206,CMP_14,Campaign 18,Text,Facebook,08-07-24,45-54,Female,99123,372,4630.31,152,11357.21
AD_0207,Ad Creative 207,CMP_04,Campaign 2,Text,Facebook,08-07-24,25-34,Male,20342,4516,9374.13,193,14523.67
